iter	Passed	Remaining
0	5	1074
1	11	1120
2	18	1190
3	22	1118
4	28	1109
5	33	1098
6	38	1053
7	43	1035
8	50	1061
9	55	1055
10	62	1080
11	78	1232
12	129	1861
13	141	1881
14	150	1862
15	162	1866
16	169	1820
17	173	1757
18	179	1708
19	183	1655
20	188	1606
21	193	1567
22	200	1546
23	213	1564
24	218	1532
25	224	1499
26	229	1470
27	233	1435
28	238	1405
29	258	1466
30	264	1440
31	270	1418
32	275	1395
33	281	1372
34	286	1349
35	292	1332
36	299	1317
37	306	1308
38	312	1290
39	318	1272
40	322	1252
41	329	1239
42	334	1221
43	340	1208
44	347	1196
45	356	1195
46	362	1181
47	367	1163
48	375	1158
49	382	1146
50	386	1129
51	432	1229
52	438	1215
53	446	1206
54	452	1193
55	463	1193
56	479	1204
57	486	1191
58	566	1353
59	574	1339
60	582	1327
61	589	1312
62	599	1303
63	609	1295
64	616	1280
65	625	1270
66	631	1253
67	645	1252
68	654	1243
69	662	1230
70	670	1217
71	677	1204
72	697	1213
73	728	1240
74	746	1244
75	762	1244
76	770	1230
77	779	1219
78	790	1211
79	802	1204
80	812	1193
81	821	1182
82	831	1171
83	844	1166
84	850	1151
85	857	1136
86	905	1175
87	909	1158
88	918	1144
89	924	1130
90	930	1114
91	934	1097
92	939	1081
93	945	1065
94	952	1052
95	956	1036
96	962	1022
97	969	1009
98	977	997
99	981	981
100	986	967
101	991	952
102	996	938
103	1001	924
104	1006	910
105	1015	900
106	1021	887
107	1027	874
108	1033	862
109	1038	849
110	1044	837
111	1049	824
112	1054	811
113	1062	801
114	1071	791
115	1077	780
116	1084	769
117	1088	756
118	1094	745
119	1100	733
120	1104	721
121	1112	711
122	1120	701
123	1126	690
124	1130	678
125	1136	667
126	1142	656
127	1147	645
128	1152	634
129	1158	623
130	1166	614
131	1173	604
132	1178	593
133	1183	583
134	1189	572
135	1194	562
136	1199	551
137	1209	543
138	1215	533
139	1222	523
140	1226	513
141	1232	503
142	1237	493
143	1242	483
144	1248	473
145	1253	463
146	1258	453
147	1266	445
148	1272	435
149	1276	425
150	1281	415
151	1285	405
152	1289	396
153	1293	386
154	1297	376
155	1302	367
156	1307	358
157	1313	349
158	1321	340
159	1326	331
160	1331	322
161	1337	313
162	1343	304
163	1348	296
164	1354	287
165	1362	279
166	1368	270
167	1373	261
168	1378	252
169	1384	244
170	1389	235
171	1394	226
172	1400	218
173	1407	210
174	1415	202
175	1420	193
176	1424	185
177	1430	176
178	1437	168
179	1447	160
180	1455	152
181	1460	144
182	1468	136
183	1472	128
184	1477	119
185	1483	111
186	1488	103
187	1493	95
188	1499	87
189	1504	79
190	1509	71
191	1516	63
192	1520	55
193	1526	47
194	1531	39
195	1535	31
196	1541	23
197	1547	15
198	1552	7
199	1557	0
